C1,C2,C3,C4,C5,C6,C7,C8
3.0804586117337265,1.1833857707753697,-6.743157491616043,7.751156609727394,7.349967853185822,-12.158989339214267,-7.615802142054739,5.188312446099787
1.2132902930816523,0.8579086918648494,-6.4097419390131325,10.277121333808248,5.068861368524418,-11.905175586789667,-7.570410002843266,4.014027010744253
-0.8886531188373126,0.4213864786436314,-5.597260676292114,12.454887674132245,2.189909123494705,-10.949482396807486,-6.9508283851755435,2.2357754242280836
-3.422482071310709,0.047270703398859755,-4.1627529858730234,14.23875630525033,-1.42222665763166,-9.0577668652772,-5.596745580073782,-0.2756259585622198
-6.485874864851214,-0.08008677432424159,-1.9642643035511607,15.566308619613407,-5.7348954565502375,-5.980516659514832,-3.358520255707809,-3.545339121310369
-9.886791785153843,0.06573487081234676,0.9106310417835635,16.250833643713648,-10.382359746347278,-1.790766243389225,-0.315438350097459,-7.345269992493903
-13.165781939748198,0.3777611580213224,4.151494569767,16.077836309156137,-14.764281774126406,3.127692125667306,3.2303986960456035,-11.165161154463481
-15.77987014207219,0.7410177019891603,7.41257594036608,14.971744896052043,-18.261081248084583,8.343468367484977,6.930907291751522,-14.365580907434138
-17.259240050753156,1.034745330366016,10.359544621369718,12.978944667560087,-20.357489655357867,13.410022966731267,10.433702658642009,-16.385369941977814
-17.265125950522325,1.0583588284021324,12.578733521433383,10.147289312687736,-20.675598211567824,17.702503203495386,13.294313570716897,-16.845830828019274
-15.618549334794597,0.5853086223512596,13.639479040317328,6.5579432756952105,-19.02739125473482,20.514305845622125,15.0378028720918,-15.543747341048089
-12.353536616173487,-0.4848744706497834,13.317397761963964,2.4596118892014474,-15.49021847613617,21.405498217460092,15.379053076465507,-12.4571888942155
-7.723999554575966,-2.0975338134495476,11.65758632004831,-1.7609081254856251,-10.384987449430369,20.305549713311276,14.295347734227416,-7.787146214439362
-2.1492626040965552,-4.131564639367416,8.8196751572651,-5.755478657588169,-4.193913620306343,17.29420903328882,11.8904460244051,-1.9617284905853587
3.8177309522143648,-6.3959696246237225,5.017345140306123,-9.27026337262245,2.4556125095023122,12.536434850319308,8.342009094247118,4.40299898751691
9.517983095890001,-8.54135572491638,0.634072521450634,-12.05958756549725,8.81319666582379,6.483516038042478,4.008484474454801,10.560287046409078
14.304847867476393,-10.115145732563626,-3.7833249138892278,-13.901150578108558,14.16866003215814,-0.12198351540632509,-0.585084350017039,15.736584005735514
